date,cpi_general,cpi_food,cpi_fuel,cpi_core,cpi_general_yoy,cpi_food_yoy,cpi_fuel_yoy,cpi_core_yoy,core_trend
2013-01-01,104.6,105.6,105.5,49.38842,,,,,
2013-02-01,105.3,106.6,106.0,49.59882,,,,,
2013-03-01,105.5,106.9,106.1,49.65527,,,,,
2013-04-01,106.1,107.7,106.5,49.86359,,,,,
2013-05-01,106.9,109.2,107.4,49.9192,,,,,
2013-06-01,109.3,112.2,108.3,50.89036,,,,,
2013-07-01,111.0,114.7,109.2,51.38967,,,,,
2013-08-01,112.4,116.6,109.7,51.88940000000001,,,,,
2013-09-01,113.7,118.3,110.5,52.36041,,,,,
2013-10-01,114.8,120.2,110.9,52.5668,,,,,
2013-11-01,116.3,122.6,111.6,52.92506,,,,,
2013-12-01,114.5,118.4,111.9,53.02154,,,,,
2014-01-01,113.6,115.8,112.2,53.28793999999999,8.604206500956014,9.659090909090915,6.350710900473944,7.895616016871965,7.631439762069582
2014-02-01,113.6,115.3,112.4,53.50276999999999,7.882241215574548,8.16135084427767,6.037735849056602,7.871054190402105,7.463754224022466
2014-03-01,114.2,116.1,112.5,53.73107000000001,8.24644549763034,8.606173994387255,6.032045240339312,8.208192201955612,7.297517093275613
2014-04-01,115.1,117.6,112.5,53.94662,8.482563619227147,9.19220055710306,5.633802816901401,8.188399591766249,7.132983300608476
2014-05-01,115.8,118.9,112.5,54.05343,8.325537885874645,8.882783882783896,4.748603351955305,8.28184345902978,6.970441823071641
2014-06-01,116.7,120.4,113.2,54.22236,6.770356816102474,7.308377896613183,4.524469067405357,6.547408978832148,6.810185909856749
2014-07-01,119.2,124.7,113.9,54.71365,7.387387387387401,8.718395815169998,4.304029304029311,6.468187088961641,6.652489468661232
2014-08-01,120.3,126.6,114.0,54.94002,7.028469750889665,8.576329331046306,3.919781221513219,5.879081276715459,6.497650504252468
2014-09-01,120.1,125.8,114.3,55.085080000000005,5.628847845206675,6.339814032121716,3.438914027149309,5.2036834700110335,6.3458642350877685
2014-10-01,120.1,125.4,114.7,55.24096,4.616724738675959,4.3261231281197965,3.426510369702429,5.087165283030348,6.197102291479604
2014-11-01,120.1,125.1,115.5,55.32457,3.267411865864145,2.039151712887444,3.4946236559139754,4.533787963584723,6.051032377619015
2014-12-01,119.4,123.6,115.7,55.29570000000001,4.279475982532754,4.391891891891886,3.3958891867738927,4.289124759484553,5.9063032295520985
2015-01-01,119.5,123.1,116.5,55.57057,5.193661971830998,6.303972366148525,3.832442067736186,4.283577109567394,5.7865571835852085
2015-02-01,119.7,123.1,117.7,55.690650000000005,5.369718309859173,6.764960971379019,4.71530249110319,4.089283601578031,5.668267565302993
2015-03-01,120.2,123.4,118.3,56.0138,5.25394045534151,6.287683031869085,5.155555555555558,4.248435774683057,5.550140671371343
2015-04-01,120.7,124.0,118.7,56.21338,4.865334491746309,5.442176870748305,5.511111111111111,4.2018573174742,5.429219588517708
2015-05-01,121.6,125.0,119.2,56.62378,5.008635578583753,5.130361648444071,5.955555555555558,4.755202398811687,5.302996671410867
2015-06-01,123.0,127.3,119.8,56.93433,5.398457583547556,5.730897009966762,5.830388692579502,5.001571307482755,5.175462016725531
2015-07-01,123.6,128.2,120.1,57.10368,3.691275167785224,2.806736166800317,5.443371378402095,4.368251798225842,5.064135164870994
2015-08-01,124.8,130.3,120.6,57.31214999999999,3.740648379052369,2.9225908372827902,5.789473684210522,4.317672254214666,4.989279889477555
2015-09-01,125.4,131.2,120.4,57.51480000000001,4.412989175686932,4.292527821939585,5.336832895888022,4.410849544014472,4.938722984624208
2015-10-01,126.1,132.1,120.8,57.77749,4.995836802664444,5.34290271132376,5.31822144725369,4.59175582755984,4.89815754800567
2015-11-01,126.6,132.7,121.6,57.95043,5.412156536219825,6.07513988808952,5.281385281385287,4.746281805714903,4.867754563753647
2015-12-01,126.1,131.4,122.0,58.01697999999999,5.611390284757101,6.310679611650505,5.445116681071727,4.921322996182309,4.84750269261805
2016-01-01,126.3,131.3,122.7,58.21598999999999,5.690376569037658,6.661251015434622,5.321888412017173,4.760469435530323,4.835852780842322
2016-02-01,126.0,129.9,123.1,58.52817,5.263157894736836,5.523964256701874,4.587935429056911,5.09514613314801,4.829513603367116
2016-03-01,126.0,129.8,122.4,58.62042,4.825291181364388,5.186385737439236,3.465765004226551,4.653531808232958,4.8244717462389515
2016-04-01,127.3,131.8,122.3,59.01447999999999,5.468102734051361,6.290322580645169,3.0328559393428822,4.982977362329022,4.818438699093837
2016-05-01,128.6,134.0,122.7,59.28398,5.756578947368429,7.200000000000006,2.936241610738266,4.698026164978741,4.810149447280481
2016-06-01,130.1,136.8,123.3,59.46637999999999,5.772357723577226,7.462686567164201,2.9215358931552693,4.447316759501674,4.798518395069167
2016-07-01,131.1,138.4,123.4,59.72963999999999,6.067961165048552,7.956318252730132,2.747710241465451,4.598582788359695,4.785251088817771
2016-08-01,131.1,137.9,123.6,59.94447,5.048076923076916,5.832693783576359,2.487562189054726,4.592952803201422,4.772415840195299
2016-09-01,130.9,136.6,124.1,60.30436,4.385964912280693,4.115853658536595,3.073089700996668,4.850160306564555,4.758926682152828
2016-10-01,131.4,137.0,124.3,60.60852000000001,4.203013481364004,3.709311127933379,2.89735099337749,4.899884020576195,4.741745812711189
2016-11-01,131.2,136.1,125.0,60.77256999999999,3.633491311216419,2.562170308967593,2.79605263157896,4.869920723625332,4.720052559081891
2016-12-01,130.4,134.0,126.6,60.82424,3.4099920697858943,1.978691019786916,3.770491803278686,4.83868688097866,4.695739435707897
2017-01-01,130.3,133.1,126.8,61.12159000000001,3.1670625494853555,1.370906321401355,3.3414832925835247,4.991068605034488,4.671266168129759
2017-02-01,130.6,133.0,127.9,61.39395999999999,3.650793650793638,2.386451116243249,3.899268887083674,4.89642850613643,4.647636366986494
2017-03-01,130.9,133.1,129.1,61.568410000000014,3.888888888888897,2.542372881355925,5.473856209150307,5.02894725080445,4.625342894183005
2017-04-01,131.1,133.5,129.8,61.53926999999999,2.9850746268656803,1.2898330804248737,6.132461161079328,4.278255099426431,4.606873532818274
2017-05-01,131.4,133.7,129.4,61.77465000000001,2.177293934681201,-0.223880597014936,5.46047269763652,4.2012530197871545,4.595403604259107
2017-06-01,132.0,135.2,128.8,61.73016,1.460415065334364,-1.1695906432748648,4.460665044606671,3.806823284013605,4.5925961952612
2017-07-01,134.2,139.0,129.4,62.15625999999999,2.3646071700991644,0.4335260115606809,4.862236628849281,4.062673071526968,4.597789667566951
2017-08-01,135.4,140.6,129.8,62.59954000000002,3.279938977879482,1.957940536620728,5.016181229773475,4.4292159059877045,4.610541253603767
2017-09-01,135.2,139.0,131.0,63.04969999999999,3.2849503437738514,1.7569546120058677,5.560032232070911,4.5524734861625005,4.6314960781208265
2017-10-01,136.1,140.1,132.2,63.36785,3.5768645357686424,2.262773722627731,6.355591311343511,4.5527097510382974,4.661682171186534
2017-11-01,137.6,142.1,135.3,63.74879,4.878048780487809,4.408523144746512,8.240000000000002,4.897308111208742,4.701762221741279
2017-12-01,137.2,140.5,136.6,63.99228999999998,5.21472392638036,4.850746268656714,7.898894154818326,5.208531993165844,4.750552172624772
2018-01-01,136.9,139.2,136.6,64.28548000000002,5.065234075211045,4.583020285499617,7.728706624605675,5.176386936269184,4.804506652992373
2018-02-01,136.4,137.6,136.7,64.50890000000001,4.441041347626351,3.4586466165413388,6.880375293197805,5.073691288198412,4.8577027557302355
2018-03-01,136.5,137.2,136.5,64.80474000000001,4.278074866310155,3.0803906836964545,5.731990704879952,5.2564781192173005,4.89960647656076
2018-04-01,137.1,137.5,136.5,65.26785,4.576659038901609,2.9962546816479474,5.161787365177184,6.058862901688644,4.9271994655806415
2018-05-01,137.8,138.1,136.9,65.66743000000001,4.87062404870624,3.2909498878085364,5.795981452859356,6.301581635832831,4.9465648724116145
2018-06-01,138.5,139.4,138.1,65.69431999999999,4.924242424242431,3.1065088757396664,7.220496894409933,6.42175558916418,4.960226069343962
2018-07-01,139.8,141.4,139.7,65.97516000000002,4.172876304023854,1.726618705035965,7.95981452859349,6.144031188491761,4.970917251126685
2018-08-01,140.4,141.7,140.9,66.35835000000002,3.692762186115206,0.7823613086771042,8.551617873651773,6.004532940657392,4.979322129463041
2018-09-01,140.2,140.4,142.3,66.65829999999998,3.698224852071008,1.0071942446043147,8.625954198473295,5.723421364415682,4.988595691622781
2018-10-01,140.7,139.9,143.5,67.30652999999998,3.379867744305653,-0.1427551748750866,8.547655068078686,6.215580929446052,5.010219405736328
2018-11-01,140.8,139.7,145.1,67.39123000000002,2.3255813953488413,-1.688951442646025,7.243163340724301,5.713739821571551,5.057972673712061
2018-12-01,140.1,138.2,142.7,67.53552,2.1137026239067103,-1.6370106761565917,4.465592972181542,5.536963906120596,5.101853401549612
2019-01-01,139.6,137.4,139.5,67.61367999999999,1.9722425127830512,-1.2931034482758452,2.1229868228404225,5.177218868086486,5.065697898244888
2019-02-01,139.9,137.5,138.4,67.94131,2.56598240469208,-0.0726744186046457,1.2435991221653395,5.320831699191886,4.969021757437703
2019-03-01,140.4,138.1,139.7,68.08095000000002,2.857142857142869,0.6559766763848396,2.344322344322336,5.055509828447735,4.866421038472875
2019-04-01,141.2,139.4,140.0,68.26777999999999,2.9905178701677526,1.3818181818181952,2.564102564102555,4.596336481131202,4.766688302272143
2019-05-01,142.0,140.9,140.3,68.36335,3.047895500725684,2.027516292541653,2.48356464572681,4.105414206098801,4.669348935735457
2019-06-01,142.9,142.7,141.2,68.38207000000001,3.1768953068592065,2.367288378766119,2.244750181028232,4.091297390702908,4.582504771735239
2019-07-01,144.2,144.7,139.3,68.89600999999999,3.147353361945626,2.33380480905232,-0.2863278453829498,4.427196538818512,4.55310962536457
2019-08-01,145.0,145.9,138.5,69.20173,3.276353276353272,2.964008468595636,-1.7033356990773685,4.284886528974852,4.611859113070765
2019-09-01,145.8,147.0,139.2,69.45318000000002,3.9942938659058624,4.700854700854706,-2.1784961349262333,4.192846202198419,4.704549040426575
2019-10-01,147.2,149.6,140.6,69.57355999999999,4.619758351101644,6.933523945675479,-2.020905923344951,3.3682170214390794,4.784476946815442
2019-11-01,148.6,151.9,142.3,69.81084999999999,5.539772727272707,8.732999284180408,-1.929703652653336,3.5904078319982657,4.850645675325582
2019-12-01,150.4,155.0,143.7,70.10308,7.351891506067099,12.156295224312608,0.700770847932719,3.8017920051552014,4.912007156891008
2020-01-01,150.2,153.5,144.6,70.52758999999999,7.59312320916905,11.71761280931587,3.655913978494629,4.309645622010216,4.973977462200194
2020-02-01,149.1,150.5,147.2,70.62333,6.576125804145816,9.45454545454545,6.358381502890165,3.947554146365429,5.039356880552977
2020-03-01,148.6,148.9,148.9,70.74018999999998,5.840455840455827,7.820419985517746,6.585540443808169,3.905997198922706,5.113106768002839
2020-04-01,151.4,154.0,144.1,71.53274,7.223796033994345,10.473457675753227,2.9285714285714137,4.7825782528742256,5.200891776766575
2020-05-01,150.9,152.7,142.5,71.73249000000001,6.26760563380282,8.37473385379701,1.5680684248039922,4.92828394161493,5.3023550851544625
2020-06-01,151.8,154.0,141.9,72.07926,6.228131560531836,7.918710581639821,0.4957507082153034,5.406665811666711,5.393570058713154
2020-07-01,153.9,157.0,143.0,72.7371,6.726768377253833,8.50034554250174,2.656137832017213,5.575199492684724,5.451846082986989
2020-08-01,154.7,158.0,142.9,73.08746,6.689655172413778,8.293351610692245,3.1768953068592065,5.6150763860961295,5.4908132210031475
2020-09-01,156.4,161.4,143.1,73.22272,7.270233196159115,9.795918367346946,2.80172413793105,5.427454869597015,5.526672038120164
2020-10-01,158.4,164.7,143.6,73.68363000000001,7.608695652173925,10.093582887700524,2.1337126600284417,5.907517166003906,5.56289555080064
2020-11-01,158.9,165.4,144.6,73.79762000000001,6.931359353970401,8.887425938117177,1.6163035839775075,5.7108171580778855,5.598928018556655
2020-12-01,157.3,161.0,147.9,73.98556000000002,4.58776595744681,3.8709677419354938,2.9227557411273697,5.538244539326964,5.633596254816605
2021-01-01,156.3,157.6,150.2,74.38380000000001,4.061251664447418,2.6710097719869763,3.872752420470249,5.467661662620293,5.665488612463688
2021-02-01,156.6,156.9,152.4,74.85669,5.030181086519114,4.252491694352156,3.532608695652195,5.994279793943447,5.694549669746105
2021-03-01,156.8,156.7,155.5,74.94149000000002,5.518169582772559,5.238415043653455,4.4325050369375285,5.9390567087818535,5.72208505229179
2021-04-01,157.8,158.0,155.6,75.34164000000001,4.22721268163806,2.5974025974025983,7.980569049271335,5.324694678269015,5.750333273197677
2021-05-01,160.4,160.7,159.4,76.45655000000002,6.295559973492382,5.239030779305831,11.859649122807014,6.585662926241653,5.779951711429809
2021-06-01,161.3,162.6,159.8,76.46294000000002,6.258234519104078,5.584415584415581,12.61451726568006,6.081749451922813,5.811325983023955
2021-07-01,162.5,164.0,160.7,76.96418000000001,5.588044184535401,4.458598726114649,12.377622377622366,5.811449727855544,5.844197086487149
2021-08-01,162.9,163.9,161.4,77.36319,5.30058177117001,3.734177215189871,12.946116165150446,5.85015541653795,5.876240765285539
2021-09-01,163.2,164.0,162.6,77.53764,4.347826086956519,1.6109045848822667,13.626834381551369,5.892870409621498,5.904394081908049
2021-10-01,165.5,167.7,164.2,78.04277,4.4823232323232265,1.821493624772308,14.345403899721454,5.916022324090164,5.926931944493189
2021-11-01,166.7,169.7,163.9,78.35015,4.908747640025157,2.599758162031418,13.34716459197789,6.16893878149456,5.944054231080302
2021-12-01,166.2,168.2,164.1,78.52127999999999,5.657978385251106,4.472049689440993,10.95334685598377,6.13054763659282,5.957346598132508
2022-01-01,165.7,166.4,164.2,78.83595999999999,6.01407549584132,5.583756345177671,9.320905459387486,5.985389291754362,5.967748793015647
2022-02-01,166.1,166.2,165.7,79.22732,6.066411238825031,5.927342256214141,8.7270341207349,5.838663184279191,5.975414620426711
2022-03-01,167.7,168.4,167.2,79.72355999999999,6.951530612244894,7.46649649010851,7.524115755626992,6.381071419850315,5.981469151161211
2022-04-01,170.1,170.8,172.2,80.69543999999999,7.794676806083634,8.101265822784809,10.668380462724937,7.106030609368186,5.98705921872476
2022-05-01,171.7,173.3,174.6,80.99484999999999,7.044887780548614,7.840696950840087,9.535759096612283,5.935789674004344,5.990850792573693
2022-06-01,172.6,174.9,176.0,81.07153,7.005579665220085,7.564575645756455,10.137672090112629,6.027220507084841,5.987818706260158
2022-07-01,173.4,175.0,179.6,81.58614000000001,6.707692307692303,6.707317073170738,11.761045426260107,6.005339107101504,5.97186733899572
2022-08-01,174.3,176.3,178.8,81.94623000000001,6.998158379373853,7.565588773642462,10.780669144981411,5.924057681695927,5.939659490395232
2022-09-01,175.3,177.8,179.5,82.21516000000001,7.414215686274517,8.41463414634147,10.393603936039364,6.032579789635095,5.89243674855774
2022-10-01,176.7,179.6,180.5,82.72722,6.767371601208461,7.096004770423381,9.92691839220463,6.002413804635576,5.834753975674568
2022-11-01,176.5,178.3,181.3,83.06713,5.87882423515298,5.067766647024175,10.616229408175728,6.020384134554946,5.76893106034673
2022-12-01,175.7,175.9,182.0,83.31562999999998,5.7160048134777375,4.577883472057076,10.907982937233406,6.105797052722517,5.6932294117224025
2023-01-01,176.5,176.7,182.0,83.75059,6.517803258901633,6.1899038461538325,10.840438489646775,6.2339952478539296,5.605495266541695
2023-02-01,176.8,176.6,182.1,84.08956000000002,6.441902468392535,6.25752105896511,9.897404948702482,6.137074938291498,5.506603743785945
2023-03-01,177.2,177.0,181.9,84.32035999999998,5.66487775790101,5.1068883610451365,8.791866028708139,5.765924150903423,5.398333378167804
2023-04-01,178.1,177.9,181.7,84.82301,4.7031158142269325,4.1569086651053855,5.516840882694551,5.114997823916689,5.27956195208774
2023-05-01,179.1,179.1,182.8,85.20219,4.309842748980786,3.3467974610502,4.696449026345939,5.1945771860803625,5.148922655630558
2023-06-01,181.0,183.1,182.9,85.27033,4.866743916570115,4.688393367638644,3.9204545454545534,5.179130084260164,5.004865675381479
2023-07-01,186.3,193.5,186.2,85.60503000000001,7.439446366782021,10.571428571428566,3.674832962138086,4.925946980700391,4.845845333258949
2023-08-01,186.2,192.5,186.5,85.94134999999999,6.827309236947787,9.18888258650028,4.306487695749439,4.875294446126399,4.673395196000901
2023-09-01,184.1,189.0,179.3,85.91791999999998,5.019965772960622,6.299212598425186,-0.1114206128133621,4.503743591814424,4.495137972496332
2023-10-01,185.3,190.9,179.8,86.21765,4.867006225240544,6.291759465478841,-0.3878116343490223,4.219203788063952,4.333583031696929
2023-11-01,186.3,192.6,179.9,86.43528000000002,5.552407932011327,8.020190689848562,-0.7722007722007707,4.054732600006772,4.209788576565291
2023-12-01,185.7,191.2,180.2,86.45411999999999,5.691519635742748,8.698123934053426,-0.9890109890109966,3.766988258985737,4.1227381911400345
2024-01-01,185.5,190.1,180.9,86.70943000000001,5.099150141643061,7.583474816072444,-0.6043956043956022,3.532918394962969,4.053522617448627
2024-02-01,185.8,190.3,180.7,86.93149000000001,5.090497737556565,7.757644394110996,-0.7688083470620555,3.3796466529257607,3.9876200568903295
2024-03-01,185.8,190.7,175.8,87.07531000000002,4.853273137697522,7.740112994350268,-3.353490929081915,3.2672417432753287,3.9217711013247345
2024-04-01,186.7,191.9,174.4,87.52098999999998,4.828747894441321,7.8695896571107316,-4.017611447440828,3.180717119093024,3.859882847119339
2024-05-01,187.7,193.2,176.1,87.81457999999999,4.801786711334444,7.872696817420421,-3.665207877461718,3.066106634113508,3.8050782098690292
2024-06-01,190.2,198.4,176.3,87.92849999999999,5.082872928176796,8.35608956854179,-3.608529250956805,3.117344567565272,3.7582602692843463
2024-07-01,193.0,203.3,176.0,88.51261000000001,3.596349973161561,5.064599483204146,-5.477980665950588,3.396506023068957,3.7180438393644986
2024-08-01,193.0,202.7,176.7,88.73977000000001,3.651987110633725,5.298701298701292,-5.254691689008051,3.256197395084004,3.6852251563842953
2024-09-01,194.2,204.8,176.9,88.96821999999997,5.4861488321564345,8.359788359788368,-1.3385387618516489,3.5502488887067862,3.6693071957882495
2024-10-01,196.8,209.4,176.8,89.47590000000001,6.206152185644909,9.690937663698262,-1.6685205784204626,3.779098595241237,3.684126468808694
2024-11-01,196.5,208.4,176.6,89.64552,5.475040257648955,8.203530633437172,-1.83435241801001,3.71403898963476,3.727083547156589
2024-12-01,195.4,205.9,177.8,89.60635,5.223478729133024,7.688284518828459,-1.3318534961154094,3.646130456246643,3.783935957421076
2025-01-01,193.4,200.9,178.2,89.86121,4.258760107816717,5.681220410310361,-1.49253731343284,3.634875699217477,3.8434511132185842
2025-02-01,192.5,197.6,178.3,90.46034,3.606027987082872,3.836048344718845,-1.3281682346430457,4.059346043648837,3.902995999490392
2025-03-01,192.0,196.2,178.3,90.59916,3.336921420882666,2.884111169375992,1.4220705346985163,4.046899172681662,3.9629597313022566
2025-04-01,192.6,196.0,179.5,91.2105,3.160149973219073,2.1365294424179337,2.924311926605494,4.215571601738066,4.023214135070232
2025-05-01,193.0,196.1,181.1,91.45831,2.823654768247219,1.5010351966873836,2.8392958546280544,4.1493451315260055,4.083632326255522
2025-06-01,194.2,198.1,180.8,91.76569,2.103049421661418,-0.1512096774193616,2.552467385138968,4.363988922817974,4.144155138524589
2025-07-01,196.1,201.6,180.7,92.0753,1.6062176165803077,-0.8362026561731462,2.670454545454537,4.025064903181574,4.20477264685941
2025-08-01,197.0,202.8,180.8,92.42108,2.0725388601036343,0.049333991119882,2.320316921335608,4.148433109529126,4.265492376905313
2025-09-01,197.0,202.0,180.4,92.81276,1.4418125643666402,-1.3671875,1.9785189372526928,4.3212508916105286,4.326315041919004
2025-10-01,197.3,201.6,180.3,93.30194000000002,0.2540650406503975,-3.724928366762181,1.9796380090497667,4.276056457660671,4.387226306735245
2025-11-01,197.9,202.6,180.7,93.419,0.7124681933842192,-2.7831094049904137,2.321630804077013,4.209334721913605,4.448215884580449
2025-12-01,198.0,202.1,181.3,93.70719,1.3306038894575156,-1.845556095191847,1.9685039370078703,4.576506017709692,4.50931403571048
